stone_id,name,runic,transliteration,translation,page_url,image_url,image_filename
hnias,hnias - runfont,"ᚼᚾᛁᛅᛋ
ᚠᚢᚦᚬᚱᚴ ᛬ ᚼᚾᛁᛅᛋ ᛬ ᛏᛒᛘᛚᛦ",,,https://www.christerhamp.se/runor/hnias.html,https://www.christerhamp.se/runor/hnias-1.gif,0000_hnias_hnias___runfont.gif
DK Bl 1,DK Bl 1 - Blekinge: Åryd-sten,,fuþorkeniastblm,-,https://www.christerhamp.se/runor/gamla/dk/dkbl1.html,https://www.christerhamp.se/runor/gamla/dk/dkbl1s.jpg,0001_DK_Bl_1_DK_Bl_1___Blekinge__Åryd_sten.jpg
DK Bl 3,DK Bl 3 - Blekinge: Stentoften-sten,,niu hAborumR | niu hagestumR | hAþuwolAfR gAf j | hAriwolAfR (m)A--u snuh-e | hideRrunono fe(l)(A)h ekA h ed|erA ginoronoR herAmAlAsAR ArAgeu we(l)AdudsA þAt Side B bAriutiþ,"Med nio bockar och nio hingstar gav Hådulv godår. Herulv ... Himmelglansrunraden döljer jag här, kraftrunor. Ständigt med arghet, till död genom trolldom den som bryter det [minnesmärket]",https://www.christerhamp.se/runor/gamla/dk/dkbl3.html,https://www.christerhamp.se/runor/gamla/dk/dkbl3-1s.jpg,0002_DK_Bl_3_DK_Bl_3___Blekinge__Stentoften_sten.jpg
DK Bl 4,DK Bl 4 - Blekinge: Istaby,,Afatz hAriwulafa ¶ hAþuwulafz hAeruwulafiz hAþuwulafz hAeruwulafiz ¶ Afatz hAriwulafa warAit runAz þAiAz,"Hådulf, Hjorulfs frände, ristade dessa runor till minne av Härjulv",https://www.christerhamp.se/runor/gamla/dk/dkbl4.html,https://www.christerhamp.se/runor/gamla/dk/dkbl4s.jpg,0003_DK_Bl_4_DK_Bl_4___Blekinge__Istaby.jpg
DK Bl 5,DK Bl 5 - Blekinge: Sölvesborg-sten,,urti : (w)Aþ- ...|- : ąsM=ut (:) sunu sin :,"Vade gjorde [stenen efter] Asmund, sin son",https://www.christerhamp.se/runor/gamla/dk/dkbl5.html,https://www.christerhamp.se/runor/gamla/dk/dkbl5s.jpg,0004_DK_Bl_5_DK_Bl_5___Blekinge__Sölvesborg_sten.jpg
DK Bl 6,DK Bl 6 - Blekinge: Björketorp,,,"Mäktiga runors hemlighet dolde jag här, kraftfulla runor. Den som bryter detta minnesmärke ska ständigt plågas av arghet. Svekfull död ska drabba honom. Jag spår fördärv",https://www.christerhamp.se/runor/gamla/dk/dkbl6.html,https://www.christerhamp.se/runor/gamla/dk/dkbl6-1s.jpg,0005_DK_Bl_6_DK_Bl_6___Blekinge__Björketorp.jpg
DK Bl 8,DK Bl 8 - Blekinge: Lösen-sten 1,,ødmar : ok : reinmod,Ödmar och Reginmod,https://www.christerhamp.se/runor/gamla/dk/dkbl8.html,https://www.christerhamp.se/runor/gamla/dk/dkbl8.jpg,0006_DK_Bl_8_DK_Bl_8___Blekinge__Lösen_sten_1.jpg
DK Bl 10,DK Bl 10 - Blekinge: Lösen-sten 3,,[ANO þNI M|CCCX (i) asio (m)i) lo](t) gøræ þen(æ) [siææn | aaeiokR | þusi]n au- føþø[ir urkræiæeer],I Herrens år 1310 i Åsjö Mi lät göra denna sten och fader ...,https://www.christerhamp.se/runor/gamla/dk/dkbl10.html,https://www.christerhamp.se/runor/gamla/dk/dkbl10.jpg,0007_DK_Bl_10_DK_Bl_10___Blekinge__Lösen_sten_3.jpg
DK Bl 12,DK Bl 12 - Blekinge: Sturkö-sten,,skibarR : kuþis : raisþ... stin,Gudes skeppare reste ... sten,https://www.christerhamp.se/runor/gamla/dk/dkbl12.html,https://www.christerhamp.se/runor/gamla/dk/dkbl12s.jpg,0008_DK_Bl_12_DK_Bl_12___Blekinge__Sturkö_sten.jpg
DR BR 75,DR BR 75 - Blekinge: Tjurkö,,wurte runoz an walhakurne ** heldaz kunimudiu ***,Heldaz skrev runorna på guldet åt Kunimunduz,https://www.christerhamp.se/runor/gamla/dr/drbr75.html,https://www.christerhamp.se/runor/gamla/dr/drbr75s.jpg,0009_DR_BR_75_DR_BR_75___Blekinge__Tjurkö.jpg
Bo Hoga,Bo Hoga - Bohuslän: Hoga,,HauR/iauR i * am * tain won/þon iar o mul=a *,Hor / Jor i Ar gjorde stenen här på mulen,https://www.christerhamp.se/runor/gamla/bo/bohoga.html,https://www.christerhamp.se/runor/gamla/bo/bohogas1.jpg,0010_Bo_Hoga_Bo_Hoga___Bohuslän__Hoga.jpg
Bo Kalleby,"Bo Kalleby - Bohuslän: Kalleby, Tanum",,þrawijan * haitinaz was,-,https://www.christerhamp.se/runor/gamla/bo/bokalleby.html,https://www.christerhamp.se/runor/gamla/bo/bokallebys.jpg,0011_Bo_Kalleby_Bo_Kalleby___Bohuslän__Kalleby__Tanum.jpg
Bo NIYR 1,Bo NIYR 1 - Bohuslän: Brastads kyrka,,ma=ria mær h...e þæim er þena stæin kerþe,Jungfru Maria hjälpe honom som gjorde denna sten,https://www.christerhamp.se/runor/gamla/bo/boniyr1.html,https://www.christerhamp.se/runor/gamla/bo/boniyr1s.jpg,0012_Bo_NIYR_1_Bo_NIYR_1___Bohuslän__Brastads_kyrka.jpg
Bo NIYR 2,Bo NIYR 2 - Bohuslän: Kareby kyrka,,raþe sa er kan namn orklaski k=r=a=k,Läs den som kan namnet Torbjörn Krak,https://www.christerhamp.se/runor/gamla/bo/boniyr2.html,https://www.christerhamp.se/runor/gamla/bo/boniyr2s.jpg,0013_Bo_NIYR_2_Bo_NIYR_2___Bohuslän__Kareby_kyrka.jpg
Bo NIYR 3,Bo NIYR 3 - Bohuslän: Norums kyrka,,svæn : kærðe (m),Sven gjorde m[ig],https://www.christerhamp.se/runor/gamla/bo/boniyr3.html,https://www.christerhamp.se/runor/gamla/bo/boniyr3.jpg,0014_Bo_NIYR_3_Bo_NIYR_3___Bohuslän__Norums_kyrka.jpg
Bo NIYR 4,"Bo NIYR 4 - Bohuslän: Utby, Herrestad",,asa fu(þ)or / fu(u)or,Åsa / gudarna ...,https://www.christerhamp.se/runor/gamla/bo/boniyr4.html,https://www.christerhamp.se/runor/gamla/bo/boniyr4s.jpg,0015_Bo_NIYR_4_Bo_NIYR_4___Bohuslän__Utby__Herrestad.jpg
Bo NIYR 7,"Bo NIYR 7 - Bohuslän: Kleva, Båtslycke, Spekeröd",,fuþor{K}hniastbmlyøkhp : ion : a mik,,https://www.christerhamp.se/runor/gamla/bo/boniyr7.html,https://www.christerhamp.se/runor/gamla/bo/boniyr7-1.jpg,0016_Bo_NIYR_7_Bo_NIYR_7___Bohuslän__Kleva__Båtslycke__Spekeröd.jpg
Bo Rävsal,"Bo Rävsal - Bohuslän: Rävsal, Valla",,Hariwulfs/Hariþulfs * staina-,Hreidulfs / Herjulfs stenar,https://www.christerhamp.se/runor/gamla/bo/boravsal.html,https://www.christerhamp.se/runor/gamla/bo/boravsals.jpg,0017_Bo_Rävsal_Bo_Rävsal___Bohuslän__Rävsal__Valla.jpg
