id,name,dk_number,sb_number,type,material_main,material_sub,dating,dating_certainty,find_place,find_place_certainty,find_year,transliteration,transcription,translation_danish,translation_english,rune_typology,rune_typology_certainty,language_type,inscription_placement,images_count,url,dating_comment,find_circumstances,owner_institution,storage_location,condition,translation_comment,reading_comment,rune_height,script_arrangement,ornamented,separator_type,archaeological_period,other_number,title,images_urls,local_images_count,local_images_paths,literature_count,literature_refs
407,Absalons ringUk 3,Uk 3,,Fingerring,Metal,Guld,1075-1125,Nogenlunde Sikker,Ukendt: Ukendt,Sikker,1673,þorKair -----,,Thorger ...,Þorgeirr ...,Senvikingetid (V),Nogenlunde Sikker,"Gammeldansk, Olddansk",Langs indfatningens krans.,2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/407,"Dateringen er baseret på Fritze Lindahls (2003) kunsthistorisk/typologiske datering. I Danmarks Runeindskrifter dateredes ringen til 1200-årene. Marie Stoklunds revurdering af den sproglige datering, foranlediget af Fritze Lindahls datering, lyder: ""Ud fra den nuværende viden synes [...] en datering til slutningen af 1000-årene at være mere sandsynlig end [...] dateringen til 1200-årene"" (Stoklund 2003b s. 21).","Ringen er tidligst omtalt 1673 i Det Kongelige Kunstkammers Inventarium, men de nærmere fundomstændighederne kendes ikke. I 1690 forveksledes den med en anden ring, en safirring, der i 1536 var blevet fundet i ærkebispen Absalons grav i Sorø, deraf den noget misvisende betegnelse ""Absalons ring"".",Nationalmuseet,"Nationalmuseet, udstillingen.",God.,"Indskriftens tidligere datering til 1200-tallet medførte en række nu forældede antagelser, blandt andet at risteren måtte være norsk grundet den bevarede diftong ai. K-majusklen formodedes at være et ret sent træk, men runemønterne fra Lund, som er præget i perioden ca. 1065-74, viser også indslag af latinske bogstaver. Såvel kunsthistorisk som runologisk kan ringen dateres til ca. 1100.
Nogle fingerringe fra middelalderen bærer indskrifter, som utvetydigt er magisk/religiøse, fx Revninge-fingerring (DK Fyn 1). Fingerringe kan således have haft en dobbelt funktion: primært som smykke og sekundært som amulet. I tilfældet her er der dog ingen grund til at antage en sekundær funktion som amulet, som eksempelvis Erik Moltke (1939) gjorde det, idet han opfattede de fem yr-runelignende tegn som alfabetmagi.","Runerne er dybt skårne. Indskriften formodes typologisk set at tilhøre sen vikingetid/tidlig middelalder, hvorfor a-runen translittereres a og ikke æ. De fem streger står for de fem yr-runelignende tegn, som her formodes at have ornamental/udfyldende funktion.",,"En linje, ensrettet.",Yes,Ingen skilletegn,Ældre middelalder,,Absalons ring,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/407/8537_Ring-LILLE.jpg,2,runer_ku_images\407_0.jpg; runer_ku_images\407_1.jpg,0,
735,Aggersborg-kalkristning 1NJy 19,NJy 19,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,uk ... s(a)ul ... a ...,,Indskriften er for ødelagt til at kunne tolkes.,,Middelalder (M),Sikker,Gammeldansk,"På korets nordvæg, 142-148 cm over nuværende gulv, 80-108 cm fra østvæggen.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/735,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,"En del af pudsen faldet ned ved afrensningen af muren, derfor mangler den nederste del af ca. 10 runer.","Indskriften er så beskadiget, at en fuldstændig tolkning ikke kan gives.","Den sidste del af indskriften, a ... står lidt højere oppe end de første runer. De sidste fem lodrette streger er næppe runer.","Ca. 3, 2 cm",Ensrettet linje.,No,Usikkert skilletegn,Ældre middelalder,EM85;516A,Aggersborg-kalkristning 1,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/735/rune01b_164.jpg,2,runer_ku_images\735_0.jpg; runer_ku_images\735_1.jpg,0,
744,Aggersborg-kalkristning 10NJy 28,NJy 28,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,t=y(i)-k,,Forvirret indskrift.,,Middelalder (M),Sikker,Utolket,"På skibets nordvæg ca. 9,75-9,90 m fra triumfvæggen. Højde over nuværende gulv ca. 165-170 cm.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/744,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,Binderunen t=y (stungent u).,Ca. 6 cm,,No,Ingen skilletegn,Ældre middelalder,EM85;516J,Aggersborg-kalkristning 10,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/744/rune01b_175.jpg,2,runer_ku_images\744_0.jpg; runer_ku_images\744_1.jpg,0,
745,Aggersborg-kalkristning 11NJy 29,NJy 29,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,a=u=æ m=a=r a=fs=h=t(u)=k-,,Hil dig Maria ...,Hail Mary ...,Middelalder (M),Sikker,Latin,"På skibets nordvæg 14,25-14,60 m fra triumfvæggen, ca. 55-95 cm fra tårnets østvæg. Højde over nuværende gulv ca. 175-180 cm.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/745,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,Noget usikker læsning.,,En linje.,No,Ingen skilletegn,Middelalder,EM85;516K,Aggersborg-kalkristning 11,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/745/rune01b_174a.jpg,2,runer_ku_images\745_0.jpg; runer_ku_images\745_1.jpg,0,
736,Aggersborg-kalkristning 2NJy 20,NJy 20,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,a=u=e m=aria,,Hil dig Maria.,Hail Mary.,Middelalder (M),Sikker,Latin,"På korets nordvæg, 153-157 cm over nuværende gulv. 125-130 cm fra østvæggen.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/736,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,e- (eller æ-) runen er gennemstreget fra venstre ned mod højre.,"3,3 cm",Ensrettet linje.,No,Ingen skilletegn,Ældre middelalder,EM85;516B,Aggersborg-kalkristning 2,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/736/rune01b_165.jpg,2,runer_ku_images\736_0.jpg; runer_ku_images\736_1.jpg,0,
737,Aggersborg-kalkristning 3NJy 21,NJy 21,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,ð(o)=rs=n : ku-(-),,Forvirret indskrift.,,Middelalder (M),Sikker,Utolket,"På korets nordvæg, 135-150 cm over nuværende gulv, 4,45-
4,85 m fra østvæggen.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/737,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,,13-17 cm,En linje.,No,To punkter,Ældre middelalder,EM85;516C,Aggersborg-kalkristning 3,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/737/rune01b_166.jpg,2,runer_ku_images\737_0.jpg; runer_ku_images\737_1.jpg,0,
738,Aggersborg-kalkristning 4NJy 22,NJy 22,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,...,,Runelignende kradserier.,,Middelalder (M),Sikker,Andet,"Skibets nordvæg, 130 cm over nuværende gulv, 150-160 cm fra triumfvæggen.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/738,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,"Første ""rune"" måske h.",Ca. 8 cm,Lineær.,No,Ingen skilletegn,Ældre middelalder,EM85;516D,Aggersborg-kalkristning 4,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/738/rune01b_174b.jpg,2,runer_ku_images\738_0.jpg; runer_ku_images\738_1.jpg,0,
739,Aggersborg-kalkristning 5NJy 23,NJy 23,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,(n)a=nnaba=r(i)s---mo=t---- : | (p)(a)(t)=(æ)(r),,... Fader.,... Father.,Middelalder (M),Sikker,Latin,"På skibets nordvæg, 250-285 cm fra triumfvæggen, ca. 135-150 cm over nuværende gulv.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/739,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene, den har stået færdig senest omkring 1250.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,Formentlig en latin-indskrift.,Tre binderuner a=n a=r t=æ. Den nederste del af runerne i den nederste linje er faldet af sammen med pudslaget.,"5,3-7 cm",To linjer under hinanden,No,Tre punkter,Ældre middelalder,EM85;516E,Aggersborg-kalkristning 5,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/739/rune01b_167.jpg,2,runer_ku_images\739_0.jpg; runer_ku_images\739_1.jpg,0,
740,Aggersborg-kalkristning 6NJy 24,NJy 24,36,Kalkristning,Andet,Kalkpuds,1150-1536,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,g=u=þ : g=(ø)-æ : t=ho=rlic=h : o=r : hæræ : s=tat : t=he=r : pæt=(e)=r : s=(u)a=(l)=(e) : m=æ=c : s=c=re=f : am(e)(n),,Gud ... Thorlek fra Hæra. Stå der! Peter Svale skrev mig. Amen.,God ... Þorleikr of Hæra. Stand there! Pétr Swallow wrote me. Amen.,Middelalder (M),Sikker,Gammeldansk,"Skibets nordvæg, ca 3,6-4,25 m fra triumfvæggen, 148-154 cm over nuværende gulv.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/740,"Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene,den har stået færdig senest omkring 1250, men indskriften er ifl. Erik Moltkes undersøgelse ristet i tør puds og kan derfor være senere.","Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,Indskriften er præget af bogstavskriftnorm.,"Brugen af en c-rune og f. eks. t=h  og c=h i thorlich (men g=u=þ)er bemærkelsesværdige, sene, bogstavskriftprægede træk.","5,1-7,5 cm",En vandret linje mellem rammestreger.,No,Tre punkter,Middelalder,EM85;516F,Aggersborg-kalkristning 6,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/740/rune01b_168.jpg,2,runer_ku_images\740_0.jpg; runer_ku_images\740_1.jpg,0,
741,Aggersborg-kalkristning 7NJy 25,NJy 25,36,Kalkristning,Andet,Kalkpuds,1150-1300,Nogenlunde Sikker,100701: Aggersborg,Sikker,1976,ma=rgaræta :,,Margareta.,Margareta.,Middelalder (M),Sikker,Gammeldansk,"På skibets nordvæg, 3,60-4,25 m fra triumfvæggen og 150 cm over nuværende gulv.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/741,Bygningen af kirken tidligst påbegyndt et stykke hen i 1100-årene og har stået færdig senest omkring 1250.,"Løstsiddende kalklag i kirken havde givet anledning til en renovation af kirkens vægge i sensommeren 1976. Under arbejdet blev der i begyndelsen af september opdaget runer, som havde været dækket af kalkpuds.",Kirken (menighedsrådet),In situ.,,,,"6-7,5 cm",En linje.,No,To punkter,Ældre middelalder,EM85;516G,Aggersborg-kalkristning 7,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/741/rune01b_172.jpg,2,runer_ku_images\741_0.jpg; runer_ku_images\741_1.jpg,0,
