filename,batch,idx,transliteration,runic,n_chars,source,split
syn_000000_igïggob_ᛁᚷᛇᚷᚷᛟᛒ.png,,0,igïggob,ᛁᚷᛇᚷᚷᛟᛒ,7,synth,train
syn_000000_jrgh_ᛃᚱᚷᚺ.png,,0,jrgh,ᛃᚱᚷᚺ,4,synth,train
syn_000000_srkmŋp_ᛊᚱᚲᛗᛜᛈ.png,,0,srkmŋp,ᛊᚱᚲᛗᛜᛈ,6,synth,val
syn_000001_fuþark_ᚠᚢᚦᚨᚱᚲ.png,,1,fuþark,ᚠᚢᚦᚨᚱᚲ,6,synth,train
syn_000001_laukáRo_ᛚᚨᚢᚲᚨᛉᛟ.png,,1,laukáRo,ᛚᚨᚢᚲᚨᛉᛟ,7,synth,train
syn_000001_tþeoa_ᛏᚦᛖᛟᚨ.png,,1,tþeoa,ᛏᚦᛖᛟᚨ,5,synth,train
syn_000002_fpu_ᚠᛈᚢ.png,,2,fpu,ᚠᛈᚢ,3,synth,train
syn_000002_sdogmksïjm_ᛊᛞᛟᚷᛗᚲᛊᛇᛃᛗ.png,,2,sdogmksïjm,ᛊᛞᛟᚷᛗᚲᛊᛇᛃᛗ,10,synth,train
syn_000002_ubmaþmerïo_ᚢᛒᛗᚨᚦᛗᛖᚱᛇᛟ.png,,2,ubmaþmerïo,ᚢᛒᛗᚨᚦᛗᛖᚱᛇᛟ,10,synth,train
syn_000003_sisghk_ᛊᛁᛊᚷᚺᚲ.png,,3,sisghk,ᛊᛁᛊᚷᚺᚲ,6,synth,train
syn_000003_stfdldRk_ᛊᛏᚠᛞᛚᛞᛉᚲ.png,,3,stfdldRk,ᛊᛏᚠᛞᛚᛞᛉᚲ,8,synth,train
syn_000004_fiwmtŋhdgl_ᚠᛁᚹᛗᛏᛜᚺᛞᚷᛚ.png,,4,fiwmtŋhdgl,ᚠᛁᚹᛗᛏᛜᚺᛞᚷᛚ,10,synth,train
syn_000004_ŋgknbem_ᛜᚷᚲᚾᛒᛖᛗ.png,,4,ŋgknbem,ᛜᚷᚲᚾᛒᛖᛗ,7,synth,train
syn_000005_ingwaRpmï_ᛁᚾᚷᚹᚨᛉᛈᛗᛇ.png,,5,ingwaRpmï,ᛁᚾᚷᚹᚨᛉᛈᛗᛇ,9,synth,train
syn_000005_koŋpwbldmR_ᚲᛟᛜᛈᚹᛒᛚᛞᛗᛉ.png,,5,koŋpwbldmR,ᚲᛟᛜᛈᚹᛒᛚᛞᛗᛉ,10,synth,train
syn_000005_nRmlngu_ᚾᛉᛗᛚᚾᚷᚢ.png,,5,nRmlngu,ᚾᛉᛗᛚᚾᚷᚢ,7,synth,train
syn_000006_laukáRl_ᛚᚨᚢᚲᚨᛉᛚ.png,,6,laukáRl,ᛚᚨᚢᚲᚨᛉᛚ,7,synth,train
syn_000006_wŋwhþs_ᚹᛜᚹᚺᚦᛊ.png,,6,wŋwhþs,ᚹᛜᚹᚺᚦᛊ,6,synth,train
syn_000007_bþtjŋï_ᛒᚦᛏᛃᛜᛇ.png,,7,bþtjŋï,ᛒᚦᛏᛃᛜᛇ,6,synth,train
syn_000007_mhoRþn_ᛗᚺᛟᛉᚦᚾ.png,,7,mhoRþn,ᛗᚺᛟᛉᚦᚾ,6,synth,train
syn_000007_msddnþ_ᛗᛊᛞᛞᚾᚦ.png,,7,msddnþ,ᛗᛊᛞᛞᚾᚦ,6,synth,val
syn_000008_ek_ᛖᚲ.png,,8,ek,ᛖᚲ,2,synth,train
syn_000008_ingwaR_ᛁᚾᚷᚹᚨᛉ.png,,8,ingwaR,ᛁᚾᚷᚹᚨᛉ,6,synth,train
syn_000008_mi_ᛗᛁ.png,,8,mi,ᛗᛁ,2,synth,train
syn_000009_hwj_ᚺᚹᛃ.png,,9,hwj,ᚺᚹᛃ,3,synth,train
